section,variable,satellite,r,bias_pct,RMSE,MdSA_pct,p,N
CHL_1to1,CPHY_S3_vs_CHL_S,S3A,0.82,-19.6,1.11,29.1,,23
CHL_1to1,CPHY_S3_vs_CHL_S,S3B,0.79,1.6,1.44,47.5,,19
CHL_1to1,CPHY_S3_vs_CHL_S,All,0.8,-12.2,1.27,29.5,,42
phyto_abundance,C_1,All,-0.19,,,,0.2354,40
phyto_abundance,C_2,All,-0.07,,,,0.6523,40
phyto_abundance,C_3,All,0.32,,,,0.0425,40
phyto_abundance,C_4,All,-0.13,,,,0.4202,40
phyto_abundance,C_5,All,-0.1,,,,0.5561,40
phyto_biovolume,C_1,All,-0.15,,,,0.3699,40
phyto_biovolume,C_2,All,-0.07,,,,0.6725,40
phyto_biovolume,C_3,All,0.31,,,,0.049,40
phyto_biovolume,C_4,All,-0.14,,,,0.3783,40
phyto_biovolume,C_5,All,0.06,,,,0.6957,40
