section,variable,satellite,r,bias_pct,RMSE,MdSA_pct,N
a_chla_1to1,CPHY$_{S3}$ vs aLH$_{676}$→CHL,S3A,0.72,-31.6,2.01,52.2,162
a_chla_1to1,CPHY$_{S3}$ vs aLH$_{676}$→CHL,S3B,0.74,-20.7,2.06,49.3,137
a_chla_1to1,CPHY$_{S3}$ vs aLH$_{676}$→CHL,All,0.73,-28.3,2.03,51.8,299
a_chla_1to1,CPHY$_{S3}$ vs CHL$_A$,S3A,0.73,-20.5,1.7,42.6,164
a_chla_1to1,CPHY$_{S3}$ vs CHL$_A$,S3B,0.72,-5.8,1.71,46.1,145
a_chla_1to1,CPHY$_{S3}$ vs CHL$_A$,All,0.72,-18.0,1.71,45.0,309
a_chla_1to1,CPHY$_{S3}$ vs CHL$_F$,S3A,0.64,28.3,1.81,61.6,173
a_chla_1to1,CPHY$_{S3}$ vs CHL$_F$,S3B,0.71,34.5,1.82,49.5,153
a_chla_1to1,CPHY$_{S3}$ vs CHL$_F$,All,0.68,30.1,1.81,54.3,326
a_chla_1to1,CPHY$_{S3}$ vs CPHY$_R$,S3A,0.72,-23.9,1.79,53.9,116
a_chla_1to1,CPHY$_{S3}$ vs CPHY$_R$,S3B,0.66,-5.4,2.0,64.9,99
a_chla_1to1,CPHY$_{S3}$ vs CPHY$_R$,All,0.68,-15.8,1.89,57.4,215
a_chla_pairwise_1to1,CHL_A_vs_aLH676,All,0.87,-9.5,1.38,25.7,287
a_chla_pairwise_1to1,CHL_F_vs_aLH676,All,0.86,-74.2,2.36,75.8,295
a_chla_pairwise_1to1,CPHY_R_vs_aLH676,All,0.78,-27.9,1.86,38.1,195
a_chla_pairwise_1to1,CHL_F_vs_CHL_A,All,0.83,-62.1,1.86,62.8,304
a_chla_pairwise_1to1,CPHY_R_vs_CHL_A,All,0.76,-20.6,1.77,32.3,194
a_chla_pairwise_1to1,CPHY_R_vs_CHL_F,All,0.81,29.7,1.88,44.8,211
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_442.5nm,S3A,0.49,-159.8,0.27,159.8,81
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_442.5nm,S3B,0.53,-177.7,0.29,177.7,65
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_442.5nm,All,0.5,-169.6,0.28,169.6,146
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_490nm,S3A,0.45,-124.9,0.15,124.9,81
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_490nm,S3B,0.53,-128.0,0.15,128.0,65
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_490nm,All,0.48,-127.8,0.15,127.8,146
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_510nm,S3A,0.41,-111.2,0.11,111.2,81
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_510nm,S3B,0.5,-121.6,0.11,121.6,65
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_510nm,All,0.44,-120.1,0.11,120.1,146
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_560nm,S3A,0.2,-84.2,0.062,86.7,81
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_560nm,S3B,0.29,-100.9,0.058,101.8,65
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_560nm,All,0.23,-87.0,0.06,93.9,146
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_665nm,S3A,0.59,-42.0,0.039,54.9,81
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_665nm,S3B,0.71,-41.7,0.035,50.7,65
c1_a_wc_sat_vs_a_wc,c1_a_wc_sat_vs_a_wc_665nm,All,0.64,-41.9,0.037,52.6,146
c1b_a_wc_sat_vs_a_wc_2bands,c1b_a_wc_sat_vs_a_wc_2bands_442.5nm,S3A,0.49,-159.8,0.27,159.8,81
c1b_a_wc_sat_vs_a_wc_2bands,c1b_a_wc_sat_vs_a_wc_2bands_442.5nm,S3B,0.53,-177.7,0.29,177.7,65
