date;satellite;C_phy;C_1;C_2;C_3;C_4;C_5;C_x;C_y;bb_wc;bb_nap;bb_phy;a_wc;a_nap;a_phy;a_cdom;rrs_fitted;rrs_input
2018-10-22;S3A;1.5836606310565533;4.91893196674642e-06;1.5836557113389558;3.2298913543726826e-10;2.3132079585153065e-10;2.3132079585153065e-10;0.3636635311626074;0.13778856859299168;"[0.00541297 0.00535327 0.00514489 0.0048765  0.00478123 0.00457827
 0.00438558 0.00426803 0.00423009 0.00417069]";"[0.00312751 0.00312751 0.00312751 0.00312751 0.00312751 0.00312751
 0.00312751 0.00312751 0.00312751 0.00312751]";"[0.00228546 0.00222576 0.00201739 0.001749   0.00165373 0.00145076
 0.00125808 0.00114052 0.00110258 0.00104319]";"[0.2944909  0.2740812  0.20344209 0.11564448 0.09239752 0.07178271
 0.02458645 0.02719761 0.03001466 0.0046695 ]";"[0.02197279 0.02018545 0.0145118  0.0086061  0.00690656 0.00398474
 0.00205952 0.00125542 0.00104961 0.00077586]";"[0.04680337 0.05126309 0.05579114 0.0385674  0.03374171 0.04210005
 0.01143287 0.02003359 0.02426081 0.0006912 ]";"[0.22571475 0.20263266 0.13313915 0.06847098 0.05174925 0.02569792
 0.01109406 0.00590861 0.00470423 0.00320243]";"[0.00131898 0.00137614 0.00164434 0.00236611 0.00236203 0.00196236
 0.00075057 0.00046193 0.00041073 0.00024765]";"[0.00138537 0.00136308 0.00153488 0.00240181 0.0024227  0.00184848
 0.00063259 0.00045351 0.00048229 0.00021492]"
2018-10-23;S3A;2.56421102364631;2.315597713575812e-10;2.5642110082781584;2.3132079585153065e-10;1.0760902169337783e-08;4.144369014635885e-09;0.793368802043739;0.10316565575376899;"[0.01052352 0.01042685 0.01008946 0.00965489 0.00950063 0.00917199
 0.00886001 0.00866967 0.00860823 0.00851207]";"[0.00682297 0.00682297 0.00682297 0.00682297 0.00682297 0.00682297
 0.00682297 0.00682297 0.00682297 0.00682297]";"[0.00370055 0.00360388 0.00326649 0.00283192 0.00267766 0.00234902
 0.00203704 0.00184669 0.00178526 0.00168909]";"[0.29271653 0.27875621 0.22167875 0.13248809 0.10844682 0.09610091
 0.03131119 0.03960049 0.04509435 0.00520953]";"[0.04793586 0.04403661 0.03165896 0.01877508 0.01506736 0.00869311
 0.00449305 0.00273883 0.00228984 0.00169263]";"[0.07578255 0.08300359 0.09033527 0.06244712 0.05463353 0.06816714
 0.01851175 0.03243774 0.03928234 0.00111917]";"[0.16899813 0.15171601 0.09968452 0.05126589 0.03874592 0.01924066
 0.00830639 0.00442392 0.00352217 0.00239774]";"[0.00226149 0.0023305  0.00270744 0.00396828 0.00403447 0.00328677
 0.00148009 0.00090959 0.00080828 0.00050114]";"[0.00226152 0.00227659 0.00268273 0.00404876 0.00403064 0.00323664
 0.00137494 0.00101533 0.00103046 0.00050153]"
2018-10-23;S3B;2.5642018466570384;2.3132329385333605e-10;2.564201841925372;2.3132079585153065e-10;3.3905278584711596e-09;8.784947769235885e-10;0.7931760118156711;0.10318201924438014;"[0.01052185 0.01042518 0.01008779 0.00965322 0.00949896 0.00917033
 0.00885834 0.008668   0.00860657 0.0085104 ]";"[0.00682131 0.00682131 0.00682131 0.00682131 0.00682131 0.00682131
 0.00682131 0.00682131 0.00682131 0.00682131]";"[0.00370054 0.00360386 0.00326647 0.00283191 0.00267765 0.00234901
 0.00203703 0.00184669 0.00178525 0.00168909]";"[0.29273142 0.27876927 0.22168654 0.13249144 0.1084491  0.09610161
 0.03131135 0.03960041 0.04509421 0.0052095 ]";"[0.04792421 0.04402591 0.03165127 0.01877052 0.0150637  0.008691
 0.00449195 0.00273816 0.00228928 0.00169221]";"[0.07578228 0.08300329 0.09033494 0.0624469  0.05463334 0.0681669
 0.01851169 0.03243763 0.0392822  0.00111917]";"[0.16902493 0.15174007 0.09970033 0.05127402 0.03875207 0.01924371
 0.00830771 0.00442462 0.00352273 0.00239812]";"[0.0022615  0.0023305  0.00270745 0.00396827 0.00403447 0.00328677
 0.00148009 0.00090959 0.00080828 0.00050114]";"[0.00226152 0.00227659 0.00268273 0.00404876 0.00403064 0.00323664
 0.00137494 0.00101533 0.00103046 0.00050153]"
2019-02-25;S3B;3.104504001261943;2.1417756585551477;0.24210794546713987;2.6174062917050378e-11;2.3132246118606759e-10;0.7206203969821587;0.1793500906236889;0.16338905761059597;"[0.00602268 0.00590564 0.00549716 0.00497103 0.00478427 0.00438638
 0.00400866 0.00377821 0.00370384 0.00358741]";"[0.00154241 0.00154241 0.00154241 0.00154241 0.00154241 0.00154241
 0.00154241 0.00154241 0.00154241 0.00154241]";"[0.00448027 0.00436323 0.00395475 0.00342862 0.00324186 0.00284397
 0.00246625 0.0022358  0.00216142 0.002045  ]";"[0.34555086 0.32408369 0.24817459 0.14278419 0.10598498 0.06436624
 0.0296107  0.04324855 0.04920005 0.00976227]";"[0.01083645 0.00995498 0.00715687 0.00424432 0.00340615 0.00196518
 0.0010157  0.00061914 0.00051764 0.00038264]";"[0.06706289 0.07384782 0.08314192 0.05734729 0.0412148  0.03192859
 0.01543971 0.03562301 0.04310415 0.00558221]";"[0.26765152 0.24028089 0.15787579 0.08119257 0.06136403 0.03047247
 0.01315529 0.0070064  0.00557826 0.00379743]";"[0.00120367 0.0012392  0.00140689 0.00195511 0.00210843 0.00200625
 0.00067752 0.00039695 0.00034804 0.0002131 ]";"[0.00126888 0.00125309 0.0013467  0.00199392 0.00210968 0.00198786
 0.00059972 0.00036982 0.00054347 0.00022305]"
2019-02-26;S3B;3.5816663426438793;0.8165178864914929;1.3111420131509193;0.4806894119438948;0.37761115436198894;0.5957058766955834;0.4240070064323881;0.12401488429320279;"[0.00881535 0.00868032 0.00820906 0.00760206 0.00738659 0.00692755
 0.00649177 0.00622591 0.0061401  0.00600577]";"[0.00364646 0.00364646 0.00364646 0.00364646 0.00364646 0.00364646
 0.00364646 0.00364646 0.00364646 0.00364646]";"[0.00516889 0.00503386 0.0045626  0.0039556  0.00374013 0.00328109
 0.00284531 0.00257945 0.00249364 0.00235931]";"[0.33562305 0.31998498 0.25853055 0.15880169 0.12330413 0.08768948
 0.04077347 0.05807638 0.0662673  0.0151952 ]";"[0.02561878 0.02353487 0.01691978 0.01003413 0.00805258 0.00464593
 0.00240126 0.00146374 0.00122378 0.0009046 ]";"[0.10685252 0.11407311 0.12178054 0.08714111 0.06867528 0.05991446
 0.02838714 0.05129467 0.06080953 0.01140829]";"[0.20315175 0.182377   0.11983023 0.06162645 0.04657627 0.02312909
 0.00998507 0.00531797 0.00423398 0.00288231]";"[0.00167723 0.00171187 0.00189856 0.00260741 0.00279801 0.00261539
 0.00104462 0.00062586 0.00055168 0.00034949]";"[0.00174839 0.00173619 0.00186786 0.00264987 0.002784   0.00264107
 0.00096953 0.00062842 0.00084897 0.0003794 ]"
2019-02-27;S3A;4.399850678865817;1.661822319123444;1.2653752555327946;0.6372130894694161;0.05884901657519426;0.7765909981649677;0.4313619595980489;0.13173747804245398;"[0.01005937 0.00989349 0.00931458 0.00856891 0.00830423 0.00774033
 0.007205   0.0068784  0.00677299 0.00660798]";"[0.00370971 0.00370971 0.00370971 0.00370971 0.00370971 0.00370971
 0.00370971 0.00370971 0.00370971 0.00370971]";"[0.00634966 0.00618378 0.00560486 0.0048592  0.00459451 0.00403061
 0.00349529 0.00316869 0.00306327 0.00289826]";"[0.35534923 0.34088977 0.28026819 0.17054851 0.13086522 0.09288513
 0.04253375 0.06570491 0.07508294 0.01442919]";"[0.02606317 0.02394311 0.01721327 0.01020819 0.00819226 0.00472652
 0.00244291 0.00148913 0.00124501 0.0009203 ]";"[0.11348375 0.12321276 0.13576268 0.09487631 0.07319631 0.06358923
 0.02948398 0.05856666 0.06934029 0.0104471 ]";"[0.21580231 0.19373389 0.12729224 0.06546402 0.04947664 0.02456937
 0.01060686 0.00564913 0.00449764 0.00306179]";"[0.00176062 0.00178597 0.00194918 0.00271861 0.00297562 0.00281579
 0.0011514  0.00067914 0.00059722 0.00038396]";"[0.00183677 0.00181031 0.00192024 0.00277095 0.00294059 0.00284098
 0.00106795 0.00066743 0.00092992 0.0004085 ]"
2019-05-30;S3A;6.0358751565117075;2.299432749559655;1.2657370062339681;0.37112732614497906;0.29309411142947384;1.8064839631436314;1.4579160399382625;0.056387388055136184;"[0.02124877 0.02102121 0.02022703 0.01920411 0.018841   0.01806742
 0.01733304 0.016885   0.01674039 0.01651402]";"[0.01253808 0.01253808 0.01253808 0.01253808 0.01253808 0.01253808
 0.01253808 0.01253808 0.01253808 0.01253808]";"[0.00871069 0.00848313 0.00768896 0.00666603 0.00630292 0.00552934
 0.00479496 0.00434692 0.00420231 0.00397595]";"[0.33881198 0.33528143 0.3005407  0.19522651 0.14564656 0.10395896
 0.05411296 0.08840556 0.10386042 0.02133495]";"[0.08808823 0.08092287 0.05817737 0.0345016  0.02768819 0.01597469
 0.00825654 0.00503295 0.00420786 0.00311042]";"[0.15835422 0.17143494 0.18787863 0.13270444 0.09678097 0.07746787
 0.04131638 0.08095462 0.09772743 0.016914  ]";"[0.09236953 0.08292362 0.0544847  0.02802046 0.02117741 0.01051639
 0.00454004 0.00241799 0.00192512 0.00131053]";"[0.00364514 0.00362059 0.00377426 0.00530737 0.00622266 0.0063119
 0.00272504 0.0016033  0.00140652 0.00094621]";"[0.00367541 0.00361514 0.00376325 0.00540613 0.00610478 0.00637784
 0.00261941 0.00156621 0.00186839 0.00094113]"
2019-05-30;S3B;2.622802923693963;0.6111781925761589;2.9026281378463636e-09;0.25599715332111417;2.3026247575330672e-10;1.7556275746637995;0.96965445934526;0.06333321725180341;"[0.01212413 0.01202525 0.01168015 0.01123566 0.01107787 0.01074172
 0.01042261 0.01022792 0.01016508 0.01006672]";"[0.00833903 0.00833903 0.00833903 0.00833903 0.00833903 0.00833903
 0.00833903 0.00833903 0.00833903 0.00833903]";"[0.00378511 0.00368622 0.00334113 0.00289663 0.00273884 0.0024027
 0.00208358 0.00188889 0.00182605 0.00172769]";"[0.23023953 0.22099714 0.18313033 0.11341535 0.07805487 0.04184254
 0.030864   0.0455668  0.05354382 0.01401861]";"[0.05858715 0.05382149 0.03869355 0.02294689 0.01841531 0.01062471
 0.00549139 0.00334739 0.00279863 0.00206873]";"[0.06790472 0.07403745 0.08324063 0.05899643 0.0358535  0.01940603
 0.02027333 0.03950357 0.04858293 0.01047792]";"[0.10374766 0.09313819 0.06119615 0.03147204 0.02378606 0.01181181
 0.00509928 0.00271584 0.00216226 0.00147197]";"[0.00326849 0.00335179 0.00375184 0.00530821 0.00610702 0.00613678
 0.00171794 0.00104091 0.00092203 0.00057465]";"[0.00330707 0.00332791 0.00371595 0.0054142  0.00590401 0.00623308
 0.00147697 0.00080658 0.00088132 0.00039491]"
2019-05-31;S3A;3.8841348392360784;0.9165767113699277;2.047204072930242e-10;1.5532632352266034;1.1661870502610583e-06;1.4142937262477768;1.7363172689339368;0.04288487504749916;"[0.02053773 0.02039129 0.01988023 0.01922197 0.01898831 0.0184905
 0.01801793 0.01772961 0.01763655 0.01749088]";"[0.01493233 0.01493233 0.01493233 0.01493233 0.01493233 0.01493233
 0.01493233 0.01493233 0.01493233 0.01493233]";"[0.0056054  0.00545897 0.00494791 0.00428964 0.00405598 0.00355818
 0.0030856  0.00279728 0.00270422 0.00255855]";"[0.28078797 0.27278541 0.23621123 0.15142614 0.11169794 0.06317359
 0.04574783 0.07038816 0.07907077 0.02191453]";"[0.10490941 0.09637577 0.06928683 0.04108997 0.03297548 0.01902519
 0.0098332  0.00599403 0.00501139 0.00370438]";"[0.10562782 0.1133429  0.1254866  0.08902548 0.06261619 0.03615026
 0.03246175 0.06255515 0.07259525 0.01721344]";"[0.07025074 0.06306674 0.0414378  0.02131069 0.01610627 0.00799814
 0.00345288 0.00183898 0.00146413 0.00099671]";"[0.0043525  0.00443086 0.00485007 0.0069517  0.00800526 0.00895002
 0.0029311  0.00175896 0.00156254 0.00100607]";"[0.00428959 0.00434715 0.00492796 0.0069969  0.00774486 0.00902967
 0.00278574 0.00159451 0.00151483 0.00079499]"
2019-06-01;S3B;2.5532737481964096;0.7283460114762998;4.183478563568599e-10;0.7820408784331423;0.3471039740308235;0.6957828838377961;1.068454440659753;0.03225827512346141;"[0.01287347 0.01277721 0.01244126 0.01200855 0.01185495 0.01152771
 0.01121706 0.01102753 0.01096635 0.0108706 ]";"[0.00918871 0.00918871 0.00918871 0.00918871 0.00918871 0.00918871
 0.00918871 0.00918871 0.00918871 0.00918871]";"[0.00368476 0.0035885  0.00325255 0.00281984 0.00266624 0.002339
 0.00202835 0.00183882 0.00177765 0.00168189]";"[0.19451816 0.18793611 0.1600616  0.10410202 0.07869054 0.04551743
 0.03096742 0.04588275 0.05163582 0.01578075]";"[0.06455671 0.05930547 0.04263611 0.02528499 0.02029168 0.01170728
 0.00605092 0.00368847 0.00308379 0.00227951]";"[0.0771184  0.08119144 0.08625571 0.062787   0.04628362 0.02779389
 0.02231922 0.040811   0.04745069 0.0127515 ]";"[0.05284305 0.0474392  0.03116978 0.01603004 0.01211524 0.00601625
 0.00259728 0.00138329 0.00110133 0.00074973]";"[0.0041485  0.00423229 0.00460798 0.00617299 0.00649281 0.00634177
 0.00184908 0.00112085 0.00099781 0.00061796]";"[0.00405755 0.00414868 0.00470502 0.00612868 0.00637182 0.00638565
 0.00175484 0.00102383 0.00096818 0.00043825]"
