Parameters for the Empirical a_Phi(lambda) Simulation by Eq. 12 in [1] taken from Lee (1994) [2].

ACHTUNG: RESAMPLED TO 1 NM BANDS.

[1] Lee et al. (1998): Hyperspectral remote sensing for shallow waters: 1 A semianalytical model [10.1364/AO.37.006329]
[2] Lee (1994): VISIBLE-INFRARED REMOTE-SENSING MODEL AND APPLICATIONS FOR OCEAN WATERS. Dissertation.

wavelength_nm	a_0	a_1
390	0.5813	0.0235
391	0.591699588	0.023604242
392	0.602106044	0.023600197
393	0.612508492	0.023494786
394	0.622896058	0.023294929
395	0.63325787	0.023007548
396	0.643583051	0.022639563
397	0.653860729	0.022197895
398	0.664080029	0.021689465
399	0.674230078	0.021121193
400	0.6843	0.0205
401	0.694278922	0.019832807
402	0.704155971	0.019126535
403	0.713920271	0.018388105
404	0.723560949	0.017624437
405	0.73306713	0.016842452
406	0.742427942	0.016049071
407	0.751632508	0.015251214
408	0.760669956	0.014455803
409	0.769529412	0.013669758
410	0.7782	0.0129
411	0.786682422	0.012152229
412	0.795023673	0.011427262
413	0.803282324	0.010724694
414	0.811516946	0.010044123
415	0.819786109	0.009385144
416	0.828148382	0.008747354
417	0.836662338	0.008130348
418	0.845386546	0.007533723
419	0.854379576	0.006957075
420	0.8637	0.0064
421	0.873378891	0.005861977
422	0.883337337	0.005342018
423	0.893468932	0.004839018
424	0.903667267	0.00435187
425	0.913825935	0.003879471
426	0.923838529	0.003420713
427	0.933598639	0.002974493
428	0.94299986	0.002539704
429	0.951935783	0.002115242
430	0.9603	0.0017
431	0.967997015	0.001295062
432	0.974974978	0.000910265
433	0.981192948	0.000557634
434	0.986609985	0.000249195
435	0.99118515	-3.03E-06
436	0.994877503	-0.000187008
437	0.997646105	-0.00029072
438	0.999450014	-0.00030214
439	1.000248293	-0.000209242
440	1	0
441	0.998696648	0.000332474
442	0.996459551	0.000774521
443	0.993442477	0.001307345
444	0.989799192	0.001912149
445	0.985683464	0.002570139
446	0.981249058	0.003262517
447	0.976649742	0.003970489
448	0.972039283	0.004675257
449	0.967571447	0.005358026
450	0.9634	0.006
451	0.959637994	0.006587242
452	0.956235618	0.007125251
453	0.953102344	0.007624387
454	0.950147645	0.008095008
455	0.947280994	0.008547472
456	0.944411863	0.008992138
457	0.941449726	0.009439366
458	0.938304054	0.009899513
459	0.934884321	0.010382938
460	0.9311	0.0109
461	0.926876975	0.011456558
462	0.922206776	0.012040473
463	0.917097346	0.012635106
464	0.911556626	0.013223819
465	0.90559256	0.013789973
466	0.899213089	0.014316929
467	0.892426155	0.014788048
468	0.885239701	0.015186692
469	0.877661669	0.015496222
470	0.8697	0.0157
471	0.861380907	0.015788325
472	0.852803679	0.015779256
473	0.844085873	0.015697787
474	0.83534505	0.015568915
475	0.826698766	0.015417636
476	0.818264582	0.015268946
477	0.810160054	0.015147842
478	0.802502742	0.015079318
479	0.795410205	0.015088372
480	0.789	0.0152
481	0.783357197	0.01543734
482	0.77843691	0.015816104
483	0.774161761	0.016350146
484	0.770454375	0.017053321
485	0.767237375	0.017939483
486	0.764433385	0.019022486
487	0.761965029	0.020316185
488	0.75975493	0.021834434
489	0.757725713	0.023591088
490	0.7558	0.0256
491	0.753908503	0.027868314
492	0.752014282	0.030376328
493	0.750088482	0.033097628
494	0.74810225	0.0360058
495	0.746026734	0.039074432
496	0.743833078	0.042277109
497	0.741492431	0.045587418
498	0.738975937	0.048978945
499	0.736254745	0.052425277
500	0.7333	0.0559
501	0.73008939	0.059376803
502	0.726626763	0.062829784
503	0.722922511	0.066233142
504	0.718987023	0.069561077
505	0.71483069	0.07278779
506	0.710463902	0.075887479
507	0.705897049	0.078834344
508	0.70114052	0.081602587
509	0.696204707	0.084166405
510	0.6911	0.0865
511	0.685836439	0.088584173
512	0.680422666	0.090426136
513	0.674866974	0.092039704
514	0.669177656	0.093438691
515	0.663363005	0.09463691
516	0.657431314	0.095648177
517	0.651390875	0.096486305
518	0.645249981	0.097165109
519	0.639016925	0.097698402
520	0.6327	0.0981
521	0.626308856	0.098382704
522	0.619858574	0.09855527
523	0.613365593	0.098625441
524	0.606846352	0.09860096
525	0.600317288	0.09848957
526	0.593794842	0.098299014
527	0.587295451	0.098037036
528	0.580835555	0.097711379
529	0.574431592	0.097329786
530	0.5681	0.0969
531	0.561849438	0.096428109
532	0.555657438	0.095913582
533	0.549493754	0.095354231
534	0.543328138	0.094747869
535	0.537130342	0.09409231
536	0.530870118	0.093385366
537	0.52451722	0.09262485
538	0.518041399	0.091808575
539	0.511412408	0.090934354
540	0.5046	0.09
541	0.497580393	0.089004558
542	0.490355673	0.087952001
543	0.482934391	0.086847535
544	0.475325098	0.085696363
545	0.467536346	0.08450369
546	0.459576686	0.083274723
547	0.45145467	0.082014665
548	0.443178849	0.080728722
549	0.434757776	0.079422099
550	0.4262	0.0781
551	0.417522389	0.076768358
552	0.40877507	0.075436012
553	0.400016483	0.074112531
554	0.391305071	0.07280748
555	0.382699276	0.071530429
556	0.374257538	0.070290943
557	0.3660383	0.069098589
558	0.358100003	0.067962936
559	0.350501089	0.066893551
560	0.3433	0.0659
561	0.33654415	0.064989611
562	0.330236848	0.06416075
563	0.324370376	0.063409543
564	0.318937017	0.062732116
565	0.313929051	0.062124595
566	0.309338761	0.061583107
567	0.305158429	0.061103777
568	0.301380337	0.060682732
569	0.297996767	0.060316098
570	0.295	0.06
571	0.292376111	0.059729899
572	0.290086337	0.059498589
573	0.288085711	0.059298199
574	0.286329262	0.059120857
575	0.284772021	0.058958691
576	0.283369018	0.05880383
577	0.282075284	0.058648402
578	0.280845849	0.058484535
579	0.279635744	0.058304358
580	0.2784	0.0581
581	0.277098408	0.057864594
582	0.275709802	0.057595294
583	0.27421778	0.057290262
584	0.272605936	0.056947658
585	0.270857867	0.056565642
586	0.268957169	0.056142375
587	0.266887437	0.055676016
588	0.264632267	0.055164728
589	0.262175257	0.054606669
590	0.2595	0.054
591	0.256611859	0.053347527
592	0.253603254	0.052670635
593	0.25058837	0.051995353
594	0.247681394	0.051347712
595	0.244996512	0.050753742
596	0.242647908	0.050239472
597	0.24074977	0.049830933
598	0.239416281	0.049554155
599	0.23876163	0.049435167
600	0.2389	0.0495
601	0.239911057	0.049766499
602	0.241736384	0.050219767
603	0.24428304	0.050836726
604	0.247458087	0.051594294
605	0.251168586	0.052469392
606	0.255321599	0.053438938
607	0.259824185	0.054479852
608	0.264583407	0.055569054
609	0.269506325	0.056683463
610	0.2745	0.0578
611	0.279483312	0.058898979
612	0.284422412	0.059974295
613	0.28929527	0.061023242
614	0.294079857	0.06204311
615	0.298754143	0.063031192
616	0.303296097	0.063984777
617	0.30768369	0.06490116
618	0.311894891	0.06577763
619	0.315907671	0.066611479
620	0.3197	0.0674
621	0.323251296	0.068140087
622	0.326546769	0.068827051
623	0.329573079	0.069455805
624	0.332316884	0.070021264
625	0.334764842	0.070518342
626	0.336903613	0.070941952
627	0.338719856	0.071287009
628	0.340200229	0.071548427
629	0.341331391	0.071721119
630	0.3421	0.0718
631	0.342498905	0.071782173
632	0.342545712	0.071673501
633	0.342264214	0.071482037
634	0.341678208	0.071215832
635	0.340811488	0.07088294
636	0.339687849	0.070491413
637	0.338331086	0.070049303
638	0.336764993	0.069564662
639	0.335013366	0.069045544
640	0.3331	0.0685
641	0.331088583	0.06794402
642	0.329202384	0.067425344
643	0.327704563	0.066999647
644	0.326858283	0.066722606
645	0.326926704	0.066649897
646	0.32817299	0.066837196
647	0.3308603	0.06734018
648	0.335251798	0.068214524
649	0.341610644	0.069515905
650	0.3502	0.0713
651	0.361227361	0.073607345
652	0.374677552	0.076417923
653	0.390479732	0.079696575
