Specific absorption coefficients of seven phytoplankton types.								
Brown group, Green group, Cryptophyta, Cyanobacteria blue and red, Coccolithophores and Case-1 are from the supplemental data of [1]. Values > 720 nm are filled using the closest value.								
Dinflagellates is from WASI [2] and derived from pure cultures grown in the laboratory [4,5,6].								
								
[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]								
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.								
[4] Gege (1994): Gew�sseranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p								
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.								
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.								

								
wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Dinoflagellates,Case-1
400,0.033946956,0.024218179,0.026735264,0.039150556,0.041037084,0.070530481,0.055971,0.0488466758898002
402,0.034692915,0.024587302,0.027220417,0.040118167,0.042049713,0.07123334,0.055979,0.0500374843044952
404,0.035438875,0.025022701,0.027762193,0.041207663,0.043134107,0.072010276,0.055918,0.0513960277422456
406,0.036184835,0.025483833,0.028335904,0.042387927,0.044273224,0.072840472,0.055794,0.0527965946220834
408,0.036930794,0.025936904,0.028913079,0.043613545,0.045438202,0.073693508,0.055613,0.0542990497554606
410,0.037676754,0.026354867,0.029461464,0.044824805,0.046588358,0.074551854,0.055383,0.0559587516874454
412,0.038245051,0.026729613,0.029955829,0.045968257,0.047529695,0.075385868,0.055111,0.0576432294374938
414,0.038677966,0.027065361,0.030391182,0.047001334,0.04844756,0.076165565,0.054805,0.0592200120250621
416,0.038995211,0.027343338,0.03076098,0.047859337,0.049252206,0.076877004,0.054471,0.0607335467242677
418,0.039259862,0.027561643,0.031073671,0.048533917,0.049912788,0.077527834,0.054116,0.0622527291599756
420,0.039490408,0.027735244,0.031352696,0.049073071,0.050457364,0.078144909,0.053749,0.063681760877763
422,0.039767233,0.027911497,0.031641754,0.049569013,0.051059129,0.078725669,0.053376,0.0649236090094346
424,0.040112352,0.028107853,0.031946063,0.050002376,0.051635268,0.079309927,0.053002,0.0661341494322038
426,0.040586067,0.028331666,0.0322693,0.050437678,0.052207345,0.079890158,0.052631,0.0674600534948348
428,0.04119848,0.028573434,0.032607893,0.05090228,0.05280524,0.080452088,0.052268,0.0687261479317131
430,0.041857999,0.0288068,0.032951026,0.051386388,0.053467151,0.08107279,0.051916,0.0697005787230131
432,0.042485113,0.029003428,0.033287708,0.051825789,0.05403089,0.081731458,0.05158,0.0706389486358548
434,0.043014277,0.029136389,0.033526296,0.05208524,0.054368887,0.082331744,0.051259,0.07168023114762
436,0.043362965,0.029162883,0.033610181,0.052025226,0.054424511,0.082755506,0.050955,0.0724339575622273
438,0.043463635,0.029057194,0.033501754,0.051525014,0.054166177,0.082903367,0.050668,0.0729184048435543
440,0.043281816,0.02881069,0.033182407,0.050482648,0.053587348,0.082740669,0.050398,0.0731697790882919
442,0.042832628,0.02841981,0.032699881,0.048861428,0.052496738,0.082238305,0.050144,0.0730109041572139
444,0.042230743,0.027904294,0.032110801,0.046810096,0.051057757,0.081402216,0.049903,0.0724349397025729
446,0.041554697,0.027290984,0.031468495,0.044485067,0.049431595,0.080333766,0.049671,0.0715648838355322
448,0.0409629,0.026623042,0.030824,0.042050693,0.047717047,0.079151909,0.049447,0.0703435999848564
450,0.040443715,0.025959959,0.030226053,0.03967926,0.045950508,0.078045052,0.049228,0.0692530670930064
452,0.040073073,0.02536987,0.029752713,0.037580919,0.044522855,0.077148167,0.049009,0.0682138862873637
454,0.039767268,0.024878244,0.029429131,0.035781626,0.043328983,0.076490205,0.048786,0.0670633764100774
456,0.039509298,0.024505641,0.029221914,0.034276254,0.042367518,0.075953318,0.048554,0.0658569988275087
458,0.039303364,0.024253375,0.029089337,0.033026354,0.041610822,0.075441179,0.048309,0.0646174006569874
460,0.039064884,0.024103513,0.028981348,0.031960161,0.041004985,0.074884271,0.048048,0.0634085442214557
462,0.03875531,0.024036096,0.028852043,0.031032168,0.040508895,0.074213535,0.047766,0.0622105665364425
464,0.038395176,0.024027971,0.028661855,0.030173055,0.040111352,0.073369218,0.047462,0.0608555650198817
466,0.03795853,0.024057243,0.028371482,0.029340777,0.039736026,0.072319161,0.04713,0.0594632928852429
468,0.037430868,0.024101882,0.027959994,0.028511933,0.039326468,0.071056528,0.046767,0.058096488119808
470,0.036778686,0.024139728,0.027424828,0.027681756,0.038846111,0.069658022,0.046372,0.0567240386449862
472,0.036007811,0.024155862,0.0267787,0.026892086,0.038255579,0.068174465,0.045947,0.055314270805717
474,0.03516531,0.024133344,0.026069041,0.026156847,0.037734463,0.066651682,0.045488,0.0539482992515376
476,0.034281312,0.024070813,0.025343156,0.0254993,0.037284308,0.065107548,0.044996,0.0527320502926285
478,0.033388449,0.023970143,0.02465555,0.024936146,0.036908447,0.063541812,0.044471,0.051678413222226
480,0.032531335,0.023836438,0.02406793,0.024477521,0.036612001,0.062016336,0.043913,0.0507506392925438
482,0.031722916,0.023662698,0.023646672,0.024137309,0.036427875,0.060545301,0.043326,0.0498177193927536
484,0.030947876,0.02344225,0.023400658,0.023891842,0.03631532,0.059100904,0.042712,0.0489372856172925
486,0.030199739,0.023145834,0.02330922,0.023704834,0.036193827,0.057702266,0.042075,0.048119392782568
488,0.029480077,0.022749791,0.023341952,0.023538251,0.036049013,0.0563157,0.041414,0.0472157524161268
490,0.028782092,0.022236062,0.023458701,0.023352314,0.035932621,0.054869364,0.040734,0.0461236925063213
