wavelengths;phytoplankton;cryptophyta;cyanobacteria;diatoms;dinoflagellates;green algae;brown algae;cyanobacteria blue;cyanobacteria red
400;0.032027;0.0165;0.027841;0.03003817;0.055971;0.025348;0.033946956;0.039150556;0.041037084
401;0.0322;0.01677;0.028185;0.030520702;0.055984;0.02585;0.034319935;0.039634362;0.041543398
402;0.0324;0.017478;0.028528;0.0309601;0.055979;0.026329;0.034692915;0.040118167;0.042049713
403;0.0326;0.018189;0.028876;0.031356048;0.055957;0.026786;0.035065895;0.040662915;0.04259191
404;0.0327;0.018488;0.02925;0.031709178;0.055918;0.027218;0.035438875;0.041207663;0.043134107
405;0.0329;0.018787;0.029641;0.032020438;0.055863;0.027628;0.035811855;0.041797795;0.043703665
406;0.033;0.019086;0.030037;0.03229283;0.055794;0.028015;0.036184835;0.042387927;0.044273224
407;0.0331;0.019384;0.030435;0.03252904;0.05571;0.028381;0.036557814;0.043000736;0.044855713
408;0.0332;0.019671;0.030833;0.03273365;0.055613;0.028728;0.036930794;0.043613545;0.045438202
409;0.0333;0.019943;0.031231;0.032910136;0.055504;0.029059;0.037303774;0.044219175;0.04601328
410;0.0333;0.020203;0.031608;0.033063554;0.055383;0.029375;0.037676754;0.044824805;0.046588358
411;0.0334;0.020444;0.031941;0.03319817;0.055252;0.02968;0.037960903;0.045396531;0.047059027
412;0.0334;0.020665;0.032249;0.033319198;0.055111;0.029976;0.038245051;0.045968257;0.047529695
413;0.0334;0.02086;0.032561;0.03343043;0.054961;0.030267;0.038461509;0.046484795;0.047988627
414;0.0335;0.021032;0.032874;0.033536448;0.054805;0.030554;0.038677966;0.047001334;0.04844756
415;0.0335;0.021184;0.033178;0.03364057;0.05464;0.03084;0.038836589;0.047430336;0.048849883
416;0.0335;0.021321;0.033448;0.033746114;0.054471;0.031127;0.038995211;0.047859337;0.049252206
417;0.0335;0.021452;0.033671;0.033855608;0.054296;0.031416;0.039127537;0.048196627;0.049582497
418;0.0336;0.021579;0.033866;0.033971106;0.054116;0.031708;0.039259862;0.048533917;0.049912788
419;0.0336;0.021705;0.034045;0.03409403;0.053935;0.032005;0.039375135;0.048803494;0.050185076
420;0.0336;0.02183;0.034233;0.03422517;0.053749;0.032304;0.039490408;0.049073071;0.050457364
421;0.0336;0.021954;0.034438;0.034364842;0.053564;0.032607;0.03962882;0.049321042;0.050758246
422;0.0337;0.022093;0.034643;0.034512572;0.053376;0.032911;0.039767233;0.049569013;0.051059129
423;0.0337;0.022249;0.034839;0.034667886;0.053189;0.033215;0.039939792;0.049785695;0.051347198
424;0.0337;0.02242;0.035032;0.034829046;0.053002;0.033514;0.040112352;0.050002376;0.051635268
425;0.0338;0.022618;0.035225;0.034994788;0.052815;0.033808;0.04034921;0.050220027;0.051921307
426;0.0338;0.022836;0.03542;0.0351629;0.052631;0.034091;0.040586067;0.050437678;0.052207345
427;0.0338;0.023059;0.035615;0.035331012;0.052448;0.034361;0.040892274;0.050669979;0.052506292
428;0.0339;0.023285;0.035816;0.035496754;0.052268;0.034611;0.04119848;0.05090228;0.05280524
429;0.0339;0.023511;0.036046;0.03565744;0.052091;0.034839;0.041528239;0.051144334;0.053136196
430;0.0339;0.023735;0.036276;0.035810226;0.051916;0.03504;0.041857999;0.051386388;0.053467151
431;0.0339;0.023956;0.036481;0.035952268;0.051746;0.035209;0.042171556;0.051606088;0.05374902
