Specific absorption coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]






















wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore
400,0.033946956,0.024218179,0.026735264,0.039150556,0.041037084,0.070530481
402,0.034692915,0.024587302,0.027220417,0.040118167,0.042049713,0.07123334
404,0.035438875,0.025022701,0.027762193,0.041207663,0.043134107,0.072010276
406,0.036184835,0.025483833,0.028335904,0.042387927,0.044273224,0.072840472
408,0.036930794,0.025936904,0.028913079,0.043613545,0.045438202,0.073693508
410,0.037676754,0.026354867,0.029461464,0.044824805,0.046588358,0.074551854
412,0.038245051,0.026729613,0.029955829,0.045968257,0.047529695,0.075385868
414,0.038677966,0.027065361,0.030391182,0.047001334,0.04844756,0.076165565
416,0.038995211,0.027343338,0.03076098,0.047859337,0.049252206,0.076877004
418,0.039259862,0.027561643,0.031073671,0.048533917,0.049912788,0.077527834
420,0.039490408,0.027735244,0.031352696,0.049073071,0.050457364,0.078144909
422,0.039767233,0.027911497,0.031641754,0.049569013,0.051059129,0.078725669
424,0.040112352,0.028107853,0.031946063,0.050002376,0.051635268,0.079309927
426,0.040586067,0.028331666,0.0322693,0.050437678,0.052207345,0.079890158
428,0.04119848,0.028573434,0.032607893,0.05090228,0.05280524,0.080452088
430,0.041857999,0.0288068,0.032951026,0.051386388,0.053467151,0.08107279
432,0.042485113,0.029003428,0.033287708,0.051825789,0.05403089,0.081731458
434,0.043014277,0.029136389,0.033526296,0.05208524,0.054368887,0.082331744
436,0.043362965,0.029162883,0.033610181,0.052025226,0.054424511,0.082755506
438,0.043463635,0.029057194,0.033501754,0.051525014,0.054166177,0.082903367
440,0.043281816,0.02881069,0.033182407,0.050482648,0.053587348,0.082740669
442,0.042832628,0.02841981,0.032699881,0.048861428,0.052496738,0.082238305
444,0.042230743,0.027904294,0.032110801,0.046810096,0.051057757,0.081402216
446,0.041554697,0.027290984,0.031468495,0.044485067,0.049431595,0.080333766
448,0.0409629,0.026623042,0.030824,0.042050693,0.047717047,0.079151909
450,0.040443715,0.025959959,0.030226053,0.03967926,0.045950508,0.078045052
452,0.040073073,0.02536987,0.029752713,0.037580919,0.044522855,0.077148167
454,0.039767268,0.024878244,0.029429131,0.035781626,0.043328983,0.076490205
456,0.039509298,0.024505641,0.029221914,0.034276254,0.042367518,0.075953318
458,0.039303364,0.024253375,0.029089337,0.033026354,0.041610822,0.075441179
460,0.039064884,0.024103513,0.028981348,0.031960161,0.041004985,0.074884271
462,0.03875531,0.024036096,0.028852043,0.031032168,0.040508895,0.074213535
464,0.038395176,0.024027971,0.028661855,0.030173055,0.040111352,0.073369218
466,0.03795853,0.024057243,0.028371482,0.029340777,0.039736026,0.072319161
468,0.037430868,0.024101882,0.027959994,0.028511933,0.039326468,0.071056528
470,0.036778686,0.024139728,0.027424828,0.027681756,0.038846111,0.069658022
472,0.036007811,0.024155862,0.0267787,0.026892086,0.038255579,0.068174465
474,0.03516531,0.024133344,0.026069041,0.026156847,0.037734463,0.066651682
476,0.034281312,0.024070813,0.025343156,0.0254993,0.037284308,0.065107548
478,0.033388449,0.023970143,0.02465555,0.024936146,0.036908447,0.063541812
480,0.032531335,0.023836438,0.02406793,0.024477521,0.036612001,0.062016336
482,0.031722916,0.023662698,0.023646672,0.024137309,0.036427875,0.060545301
484,0.030947876,0.02344225,0.023400658,0.023891842,0.03631532,0.059100904
486,0.030199739,0.023145834,0.02330922,0.023704834,0.036193827,0.057702266
488,0.029480077,0.022749791,0.023341952,0.023538251,0.036049013,0.0563157
490,0.028782092,0.022236062,0.023458701,0.023352314,0.035932621,0.054869364
492,0.028086934,0.02159333,0.023586678,0.023101072,0.035750167,0.053324003
494,0.027372062,0.020808244,0.023649891,0.022733275,0.035510256,0.051662088
496,0.026670682,0.019898714,0.023597131,0.022227358,0.035192205,0.049898011
498,0.025978635,0.018880907,0.023399364,0.021571437,0.034806601,0.048034478
500,0.02531156,0.017769252,0.023049727,0.020763311,0.034395307,0.046072384
502,0.024611263,0.016610579,0.022544028,0.019825142,0.033789813,0.044041181
504,0.023903928,0.015405508,0.021901689,0.018769267,0.033093938,0.041985844
506,0.02323726,0.014179118,0.021143445,0.017616485,0.03242609,0.039951693
508,0.022581178,0.012958726,0.020305383,0.016397117,0.031828741,0.037976208
510,0.021928225,0.011773892,0.019438951,0.015151004,0.031268432,0.036087196
