Polynomial offsets to translate multispectral AVW into a hyperspectral equivalent [1].
SuperDove coefficients are from Vandermeulen (personal communication) - Thanks Ryan!

[1] Vandermeulen (no year): https://oceancolor.gsfc.nasa.gov/resources/atbd/avw/#:~:text=The%20AVW%20is%20an%20optical,2020)

Sensor,c0,c1,c2,c3,c4,c5
MODIS-Aqua,5.3223151E-09,-1.3619239E-05,1.3886726E-02,-7.0534823E+00,1.7860303E+03,-1.8010144E+05
MODIS-Terra,5.2820302E-09,-1.3533547E-05,1.3817488E-02,-7.0277257E+00,1.7819361E+03,-1.7993575E+05
OLCI-S3A,5.3756534E-10,-1.3823300E-06,1.4217760E-03,-7.3259519E-01,1.9025240E+02,-1.9586876E+04
OLCI-S3B,5.2874737E-10,-1.3593836E-06,1.3979935E-03,-7.2032459E-01,1.8710170E+02,-1.9264929E+04
MERIS,-1.8566476E-10,5.9630399E-07,-7.3760077E-04,4.4214046E-01,-1.2805555E+02,1.4733655E+04
SeaWiFS,1.3889225E-08,-3.4666482E-05,3.4478423E-02,-1.7081781E+01,4.2173196E+03,-4.1487648E+05
HawkEye,1.2484460E-08,-3.1200493E-05,3.1064705E-02,-1.5404026E+01,3.8058444E+03,-3.7458936E+05
OCTS,4.9443860E-09,-1.2738386E-05,1.3043106E-02,-6.6374048E+00,1.6805142E+03,-1.6913709E+05
GOCI,2.3513884E-10,-6.3647535E-07,6.9347646E-04,-3.8202645E-01,1.0759457E+02,-1.2026274E+04
SGLI,1.6912427E-09,-4.9242779E-06,5.5741262E-03,-3.0863774E+00,8.4069664E+02,-9.0088850E+04
VIIRS-SNPP,1.6399143E-09,-4.1496452E-06,4.1742101E-03,-2.0901182E+00,5.2296625E+02,-5.2094618E+04
VIIRS-JPSS1,3.8180817E-10,-1.1345956E-06,1.2998933E-03,-7.2752517E-01,2.0172126E+02,-2.1958504E+04
CZCS,2.5904658E-08,-6.7326637E-05,6.9802590E-02,-3.6085795E+01,9.3033343E+03,-9.5665775E+05
MSI-S2A,-7.4719643E-10,1.8794584E-06,-1.8924228E-03,9.5069314E-01,-2.3623942E+02,2.3384674E+04
MSI-S2B,-1.3572502E-09,3.4546589E-06,-3.5159381E-03,1.7855878E+00,-4.5046399E+02,4.5327899E+04
OLI,-7.5487887E-09,1.9136261E-05,-1.9333568E-02,9.7261770E+00,-2.4338650E+03,2.4247497E+05
SuperDove,-3.1517567102E-10,1.1191021004E-06,-1.4907044865E-03,9.5281345072E-01,-2.9453261740E+02,3.5790861208E+04
