Specific scattering coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]


wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Phytoplankton Case 1
400,0.211268838,0.203835256,0.172431403,0.199849444,0.197962916,0.682141187,0.178214927
402,0.210359487,0.203466133,0.171946249,0.198881833,0.196950287,0.679896775,0.176162723
404,0.209499629,0.203030734,0.171404473,0.197792337,0.195865893,0.677518278,0.173930071
406,0.208646191,0.202569602,0.170830763,0.196612073,0.194726776,0.675071909,0.171681037
408,0.207798921,0.202116531,0.170253588,0.195386455,0.193561798,0.672660491,0.169394114
410,0.206957083,0.201698568,0.169705202,0.194175195,0.192411642,0.670406175,0.1670523
412,0.206299808,0.201323822,0.169210838,0.193031743,0.191470305,0.668338827,0.164818227
414,0.205784583,0.200988074,0.168775484,0.191998666,0.19055244,0.666406323,0.162792554
416,0.205388407,0.200710097,0.168405686,0.191140663,0.189747794,0.664594547,0.160907321
418,0.20504502,0.200491792,0.168092995,0.190466083,0.189087212,0.662909664,0.159067829
420,0.204740327,0.200318191,0.167813971,0.189926929,0.188542636,0.661346615,0.157415501
422,0.204410797,0.200141938,0.167524913,0.189430987,0.187940871,0.659884435,0.15609737
424,0.204029561,0.199945582,0.167220603,0.188997624,0.187364732,0.658531641,0.154910832
426,0.203511847,0.199721769,0.166897367,0.188562322,0.186792655,0.657278196,0.153647442
428,0.202866703,0.199480001,0.166558774,0.18809772,0.18619476,0.65610545,0.152420599
430,0.202174003,0.199246635,0.166215641,0.187613612,0.185532849,0.654991112,0.151461141
432,0.201489537,0.199050007,0.165878959,0.187174211,0.18496911,0.653919231,0.150545656
434,0.200898462,0.198917046,0.165640371,0.18691476,0.184631113,0.652860642,0.149419169
436,0.200477523,0.198890552,0.165556486,0.186974774,0.184575489,0.651818428,0.148449651
438,0.200268227,0.198996241,0.165664913,0.187474986,0.184833823,0.650826296,0.147932252
440,0.200333812,0.199242745,0.16598426,0.188517352,0.185412652,0.649936446,0.147782434
442,0.20068548,0.199633626,0.166466785,0.190138572,0.186503262,0.649146098,0.148367513
444,0.201185946,0.200149141,0.167055866,0.192189904,0.187942243,0.648448956,0.149248567
446,0.201759693,0.200762451,0.167698171,0.194514933,0.189568405,0.6478528,0.149906844
448,0.202271364,0.201430393,0.168342666,0.196949307,0.191282953,0.647334757,0.150377045
450,0.202707378,0.202093477,0.168940613,0.19932074,0.193049492,0.646823327,0.150368395
452,0.202961576,0.202683566,0.169413954,0.201419081,0.194477145,0.646295061,0.150179262
