product_name;product_uuid;product_satellite;product_sensor;L2_file;avg_surface_chla;std_surface_chla;CV_surface_chla;station;date;lat;lon;cloud_fraction;nan_mask
S3A_OL_1_EFR____20181018T101646_20181018T101946_20240531T074936_0180_037_065_2160_MAR_R_NT_004.SEN3;a7251111-2341-32c6-ab37-fa89d3aebbbb;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;2.332593808;0.153344853;0.065740058;LXP;18.10.2018;46.500283;6.660889;0.167018072;0
S3B_OL_1_EFR____20181018T101536_20181018T101836_20240621T041714_0179_015_065_2160_MAR_R_NT_004.SEN3;b4528884-a4c6-39dd-bfbd-905e94dca0a5;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;2.332593808;0.153344853;0.065740058;LXP;18.10.2018;46.500283;6.660889;0.167018072;0
S3A_OL_1_EFR____20181019T095036_20181019T095336_20240531T075457_0179_037_079_2160_MAR_R_NT_004.SEN3;b06372b0-dc01-3491-a649-42799b145e6b;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;2.231801883;0.269942376;0.120952661;LXP;19.10.2018;46.500283;6.660889;1;0
S3B_OL_1_EFR____20181019T094905_20181019T095205_20240621T022857_0179_015_079_2160_MAR_R_NT_004.SEN3;ff9d1966-d85a-3938-a1bf-27008ffe3ecc;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;2.231801883;0.269942376;0.120952661;LXP;19.10.2018;46.500283;6.660889;1;0
S3A_OL_1_EFR____20181020T092425_20181020T092725_20240531T080306_0179_037_093_2160_MAR_R_NT_004.SEN3;88718aa2-90d4-3c2d-a5f9-8329ec85f69e;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;2.043423463;0.137462501;0.067270687;LXP;20.10.2018;46.500283;6.660889;1;0
S3B_OL_1_EFR____20181020T092235_20181020T092535_20240621T034949_0179_015_093_2160_MAR_R_NT_004.SEN3;1a514be1-4354-3ca1-a705-c1bb6f65482a;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;2.043423463;0.137462501;0.067270687;LXP;20.10.2018;46.500283;6.660889;1;0
S3A_OL_1_EFR____20181022T101302_20181022T101602_20240531T085118_0179_037_122_2160_MAR_R_NT_004.SEN3;b9b1b0a9-a0ab-3904-96d6-a93a239527c5;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.913742147;0.156093903;0.081564751;LXP;22.10.2018;46.500283;6.660889;0.209939759;0
S3B_OL_1_EFR____20181022T101033_20181022T101333_20240621T020231_0179_015_122_2160_MAR_R_NT_004.SEN3;3c703ffc-d3a9-33b6-b8a7-bd9d2a759596;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.913742147;0.156093903;0.081564751;LXP;22.10.2018;46.500283;6.660889;0.209939759;0
S3B_OL_1_EFR____20181023T094403_20181023T094703_20240621T033335_0179_015_136_2160_MAR_R_NT_004.SEN3;b7c1265e-aa3f-3550-90ba-96d897409e1b;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.743450406;0.134922287;0.077388084;LXP;23.10.2018;46.500283;6.660889;0.299096386;0
S3A_OL_1_EFR____20181023T094651_20181023T094951_20240531T085520_0179_037_136_2160_MAR_R_NT_004.SEN3;f962cea4-bd6f-3ecf-a197-e9eabc452ebe;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.743450406;0.134922287;0.077388084;LXP;23.10.2018;46.500283;6.660889;0.299096386;0
S3A_OL_1_EFR____20181024T092040_20181024T092340_20240531T085758_0179_037_150_2160_MAR_R_NT_004.SEN3;b7c97a5a-1557-390a-9632-53f6f6cf2f35;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.753707723;0.177125575;0.101000625;LXP;24.10.2018;46.500283;6.660889;0.551506024;0
S3B_OL_1_EFR____20181024T091733_20181024T092033_20240621T022922_0180_015_150_2160_MAR_R_NT_004.SEN3;f4f9bd6e-9257-3596-99b7-3bb269ab6790;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.753707723;0.177125575;0.101000625;LXP;24.10.2018;46.500283;6.660889;0.551506024;0
S3A_OL_1_EFR____20181026T100918_20181026T101218_20240531T082501_0179_037_179_2160_MAR_R_NT_004.SEN3;e4868d62-0059-3c25-bb82-a75a11fadc0c;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.906872512;0.157720794;0.082711767;LXP;26.10.2018;46.500283;6.660889;0.955271084;0
S3B_OL_1_EFR____20181026T100330_20181026T100630_20240621T032002_0179_016_179_2160_MAR_R_NT_004.SEN3;50f56cf7-1d0e-3e52-8928-51aba36364ba;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.906872512;0.157720794;0.082711767;LXP;26.10.2018;46.500283;6.660889;0.955271084;0
S3A_OL_1_EFR____20181027T094307_20181027T094607_20240531T083057_0179_037_193_2160_MAR_R_NT_004.SEN3;b196152a-9e5d-35f8-a177-796a50fcee3e;S3A;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.811572396;0.144722164;0.079887596;LXP;27.10.2018;46.500283;6.660889;1;0
S3B_OL_1_EFR____20181027T093601_20181027T093901_20240621T050905_0179_016_193_2160_MAR_R_NT_004.SEN3;3c40a2fa-f83d-3610-9d1b-1257b824f955;S3B;OLCI;L2_THETIS_GRID_20181018_20181028.nc;1.811572396;0.144722164;0.079887596;LXP;27.10.2018;46.500283;6.660889;1;0
S3B_OL_1_EFR____20181029T102158_20181029T102458_20240621T031957_0179_016_222_2160_MAR_R_NT_004.SEN3;d2032f0b-837e-357d-a18b-9a2d93edef00;S3B;OLCI;L2_THETIS_GRID_20181028_20181107.nc;1.664933557;0.101488993;0.060956783;LXP;29.10.2018;46.500283;6.660889;1;0
S3A_OL_1_EFR____20181030T100533_20181030T100833_20240531T092216_0180_037_236_2160_MAR_R_NT_004.SEN3;e21e504e-169b-3645-803c-97e66b3289f2;S3A;OLCI;L2_THETIS_GRID_20181028_20181107.nc;1.50514587;0.044482098;0.029553347;LXP;30.10.2018;46.500283;6.660889;1;0
